"","Zurich","Large_Spot","Spot_Dist","Activity","Evolution","Prev_Activity","Complex","This_Pass","Area"
"1",6,1,4,1,3,1,1,1,1
"2",3,4,3,1,3,1,1,2,1
"3",2,5,3,1,3,1,1,2,1
"4",6,4,4,1,2,1,1,1,1
"5",6,5,4,1,1,1,1,2,1
"6",2,1,3,1,2,1,1,2,1
"7",1,6,3,1,3,1,1,2,1
"8",2,1,3,1,3,1,1,2,1
"9",2,1,3,1,2,1,1,2,1
"10",1,6,3,1,3,1,1,2,1
"11",2,1,3,1,2,1,1,2,1
"12",1,6,3,1,3,1,1,2,1
"13",1,6,2,1,2,1,1,2,1
"14",2,5,3,2,2,1,1,2,1
"15",1,6,3,1,3,1,1,2,1
"16",1,6,3,1,2,1,1,2,1
"17",3,4,2,1,3,1,1,2,1
"18",6,5,4,1,3,1,1,2,1
"19",1,6,3,1,2,1,1,2,1
"20",1,6,3,1,2,1,2,2,1
"21",6,5,4,1,2,1,1,2,1
"22",1,6,3,1,3,1,1,2,1
"23",1,6,3,2,2,1,2,2,1
"24",2,4,3,1,3,1,1,2,1
"25",1,6,3,1,2,1,2,2,1
"26",1,6,3,1,3,1,1,2,1
"27",3,1,2,2,3,1,1,2,1
"28",1,6,3,1,3,1,1,2,1
"29",3,4,3,1,3,1,1,2,1
"30",1,6,3,1,3,1,1,2,1
"31",1,6,3,1,1,1,2,2,1
"32",1,6,3,1,1,1,1,2,1
"33",2,4,2,2,1,1,2,2,1
"34",1,6,3,1,3,1,1,2,1
"35",3,4,2,1,3,1,2,2,1
"36",1,6,3,1,2,1,1,2,1
"37",2,4,3,1,3,1,1,2,1
"38",4,1,1,1,3,1,1,2,1
"39",6,1,4,1,2,1,1,1,1
"40",1,6,3,1,2,1,2,2,1
"41",1,6,3,1,3,1,1,2,1
"42",1,6,3,1,2,1,1,2,1
"43",3,3,2,2,3,1,2,2,1
"44",4,1,2,2,2,1,1,2,1
"45",3,1,2,1,3,1,2,2,1
"46",1,6,3,1,3,1,1,2,1
"47",6,4,4,1,2,1,1,2,1
"48",2,4,3,1,2,1,1,2,1
"49",3,1,3,2,3,3,2,2,1
"50",4,5,3,2,3,1,2,2,1
"51",2,4,3,1,3,1,1,2,1
"52",4,5,2,2,3,1,2,2,1
"53",2,4,3,1,3,1,1,2,1
"54",3,1,2,2,3,1,2,2,1
"55",4,1,2,2,3,1,2,2,1
"56",6,5,4,1,3,1,1,1,1
"57",3,1,3,1,3,1,1,2,1
"58",3,4,3,1,3,1,1,2,1
"59",3,5,3,1,3,1,2,2,1
"60",1,6,3,1,2,1,1,2,1
"61",3,1,2,2,2,1,2,2,1
"62",4,1,2,2,3,3,2,2,1
"63",6,5,4,1,1,1,1,1,1
"64",3,5,2,2,3,1,1,2,1
"65",3,5,3,2,3,2,1,2,1
"66",3,4,3,1,3,1,1,2,1
"67",3,5,3,1,3,1,2,2,1
"68",3,5,3,1,3,1,1,2,1
"69",3,5,3,1,2,1,2,2,1
"70",4,3,1,2,3,3,2,2,2
"71",6,4,4,1,3,1,1,1,1
"72",3,1,3,1,2,1,2,2,1
"73",2,5,2,1,3,1,1,2,1
"74",2,5,3,1,2,1,1,2,1
"75",1,6,3,1,3,1,1,2,1
"76",1,6,3,1,3,1,1,2,1
"77",3,5,3,1,2,1,2,2,1
"78",3,1,2,1,3,1,1,2,1
"79",3,5,3,1,2,1,2,2,1
"80",5,3,1,2,3,1,2,2,2
"81",3,1,2,1,3,1,2,2,1
"82",2,4,3,1,2,1,1,2,1
"83",2,4,3,1,3,1,1,2,1
"84",1,6,3,1,3,1,1,2,1
"85",3,5,3,1,2,1,2,2,1
"86",6,1,4,1,2,1,2,2,1
"87",3,1,3,1,3,1,2,2,1
"88",5,3,1,2,2,1,2,2,1
"89",3,5,2,2,2,1,2,2,1
"90",1,6,3,1,2,1,1,2,1
"91",2,4,3,1,3,1,1,2,1
"92",1,6,3,1,3,1,1,2,1
"93",1,6,3,1,3,1,1,2,1
"94",3,5,3,1,2,1,1,2,1
"95",6,4,4,1,2,1,2,2,1
"96",6,1,4,1,2,1,2,2,1
"97",2,5,3,1,2,1,2,2,1
"98",5,1,2,1,2,1,2,2,2
"99",3,5,3,1,2,1,2,2,1
"100",2,4,3,1,2,1,1,2,1
"101",3,1,1,2,3,1,1,2,1
"102",1,6,3,1,1,1,1,2,1
"103",4,1,2,2,3,1,1,2,1
"104",6,1,4,1,2,1,2,2,1
"105",2,5,3,1,3,1,2,2,1
"106",5,1,1,2,3,1,2,2,2
"107",3,5,3,1,2,1,2,2,1
"108",3,1,2,2,3,1,2,2,1
"109",1,6,3,1,3,1,1,2,1
"110",4,1,2,2,3,1,2,2,1
"111",3,5,3,2,3,1,2,2,1
"112",5,1,2,2,2,1,2,2,1
"113",6,5,4,1,1,1,2,2,1
"114",3,1,2,2,2,1,2,2,1
"115",1,6,3,1,2,1,1,2,1
"116",4,5,2,2,2,1,2,2,1
"117",6,5,4,1,2,1,1,1,1
"118",5,1,1,2,2,1,2,2,1
"119",6,5,4,1,2,1,2,2,1
"120",4,1,3,1,2,1,2,2,1
"121",4,1,2,1,2,1,2,2,1
"122",1,6,3,1,3,1,1,2,1
"123",2,5,3,1,3,1,1,2,1
"124",6,5,4,1,2,1,2,2,1
"125",5,1,2,2,2,1,2,2,1
"126",4,1,3,1,2,1,2,2,1
"127",4,5,2,1,2,1,2,2,1
"128",4,1,3,1,3,1,1,2,1
"129",6,5,4,1,2,1,1,1,1
"130",4,5,3,1,1,1,2,2,1
"131",4,5,2,2,3,1,2,2,1
"132",2,5,3,2,2,1,1,2,1
"133",4,5,3,1,2,1,1,2,1
"134",4,1,2,1,2,1,2,2,1
"135",6,5,4,1,2,1,1,2,1
"136",4,1,3,1,3,1,1,2,1
"137",6,2,4,1,2,1,1,1,1
"138",1,6,3,1,3,1,1,2,1
"139",2,4,3,1,3,1,1,2,1
"140",4,5,2,1,2,1,2,2,1
"141",2,5,3,2,3,1,1,2,1
"142",4,5,3,1,3,1,1,2,1
"143",6,2,4,1,3,1,1,1,1
"144",1,6,3,1,3,1,1,2,1
"145",6,5,4,1,2,1,1,1,1
"146",1,6,3,1,3,1,1,2,1
"147",2,4,3,1,2,1,1,2,1
"148",3,4,3,1,2,1,1,2,1
"149",4,5,3,1,2,1,2,2,1
"150",2,5,3,2,2,1,1,2,1
"151",4,5,3,1,3,1,1,2,1
"152",2,2,3,1,3,1,1,2,1
"153",1,6,3,1,1,1,1,2,1
"154",6,5,4,1,2,1,1,1,1
"155",1,6,3,1,3,1,1,2,1
"156",4,4,1,2,3,1,1,2,1
"157",3,4,2,1,3,1,1,2,1
"158",6,5,4,1,1,1,2,2,1
"159",2,5,3,1,2,1,1,2,1
"160",4,5,3,1,2,1,1,2,1
"161",2,3,3,1,2,1,1,2,1
"162",6,5,4,2,2,1,1,1,1
"163",1,6,3,1,2,1,1,2,1
"164",4,3,1,1,3,1,2,2,1
"165",4,1,2,1,3,1,2,2,1
"166",2,4,3,1,3,1,1,2,1
"167",6,4,4,1,1,1,2,2,1
"168",6,5,4,1,2,1,1,2,1
